date,z1_mixed,z2_rates,z3_inflation,z1_mixed_s,z2_rates_s,z3_inflation_s,hmm_state,regime,regime_gate,composite_score
2006-05-09,0.2197369576689029,-0.041163727180009255,-1.4236390827293335,1.432599686692002,0.35627867263513824,-0.5714987426118181,1,Bear,0.0,
2006-05-10,1.1324822730832897,0.0407162854628468,-1.755821953382648,1.553885959594312,0.396022912616653,-0.48628470860006656,1,Bear,0.0,
2006-05-11,4.495793406800048,2.3650464242949627,-1.3202428661569507,1.696242416822173,0.45353248395585805,-0.33759381234918595,1,Bear,0.0,
2006-05-12,3.9321891437895466,3.0016249267003294,0.7617648082504748,1.6986213245511403,0.41546635827810785,-0.139770463407917,1,Bear,0.0,
2006-05-15,-0.22969287311662898,-1.0456446492499356,3.51842059874098,1.5893218413181873,0.24809230417924666,0.012976121950432254,2,Neutral,0.5,
2006-05-16,1.0463448517500566,-2.3504822211118412,-0.6959737416419585,1.570973093806975,0.1454050977518444,-0.009549516530745851,2,Neutral,0.5,
2006-05-17,5.423634940487123,3.165508756635509,0.15575974840095128,1.5788557583986087,0.16751225726762653,0.002246056243636694,2,Neutral,0.5,
2006-05-18,2.9717859125329666,-2.934199672610449,-0.511946432964206,1.3944994638858168,0.03971959181501457,0.006365944410153507,2,Neutral,0.5,
2006-05-19,-1.0883338004943033,0.09394257239468644,1.3729290836516936,1.1312788469406674,0.06062288958367576,0.03640145144538831,2,Neutral,0.5,
2006-05-22,1.947048895291355,0.027840310612516465,-0.565111662917553,0.9790388623672663,0.07986020321178641,-0.0003894231296921527,2,Neutral,0.5,
2006-05-23,1.9066488753708506,0.742566494048105,-1.713020217790677,0.7783983761476609,0.10169851146986056,-0.008944185715379582,2,Neutral,0.5,
2006-05-24,-0.8410870986146024,-0.6636789243232586,2.559935643149344,0.521345364966896,0.09149342059902249,0.06770485330269782,2,Neutral,0.5,
2006-05-25,-4.044828877951287,0.3602415764364487,-1.115217395527942,0.33241397696520597,0.11904694697429848,0.019742352828442937,2,Neutral,0.5,
2006-05-26,-1.3388052140549722,-0.36513731573929464,0.13867100397635562,0.36234473170934056,0.13454074187646695,0.02852783977200732,2,Neutral,0.5,
2006-05-30,5.093587444203272,2.093930513240373,-1.1987383219610337,0.47733298374169086,0.17501843965942349,0.03180616850535428,2,Neutral,0.5,
2006-05-31,-2.640823429097935,1.582823732490614,0.48687058955527973,0.3615085127509621,0.11955053376333258,0.09661172176202062,2,Neutral,0.5,
2006-06-01,-3.044537378146199,-1.7389234515508658,2.1002710672275438,0.39580063885267813,-0.009081032069122336,0.141904331629024,2,Neutral,0.5,
2006-06-02,0.24739392009063002,-3.758271084046416,-1.9228408595764241,0.6021096658043381,-0.0512204769274901,0.08927860471610138,2,Neutral,0.5,
