id,score,action,date,regime,gate
SGMO,12.997642,BUY,2026-06-11,Neutral,0.5
IMDX,2.36466,BUY,2026-06-11,Neutral,0.5
GOSS,1.456552,BUY,2026-06-11,Neutral,0.5
TNYA,1.33583,BUY,2026-06-11,Neutral,0.5
ZNTL,1.148996,BUY,2026-06-11,Neutral,0.5
LCTX,1.13766,BUY,2026-06-11,Neutral,0.5
VYGR,1.093389,BUY,2026-06-11,Neutral,0.5
HRTX,0.644853,BUY,2026-06-11,Neutral,0.5
INO,0.62273,BUY,2026-06-11,Neutral,0.5
IOVA,0.607163,BUY,2026-06-11,Neutral,0.5
IBRX,0.504475,BUY,2026-06-11,Neutral,0.5
NMRA,0.474416,BUY,2026-06-11,Neutral,0.5
ENTA,0.467949,BUY,2026-06-11,Neutral,0.5
JBIO,0.398095,BUY,2026-06-11,Neutral,0.5
CGEM,0.340715,BUY,2026-06-11,Neutral,0.5
AARD,0.311448,BUY,2026-06-11,Neutral,0.5
KALV,0.308599,BUY,2026-06-11,Neutral,0.5
VNDA,0.299931,BUY,2026-06-11,Neutral,0.5
ENGN,0.273719,BUY,2026-06-11,Neutral,0.5
STTK,0.214347,BUY,2026-06-11,Neutral,0.5
QSI,0.205477,WATCH,2026-06-11,Neutral,0.5
FBRX,0.1925,WATCH,2026-06-11,Neutral,0.5
TAK,0.187502,WATCH,2026-06-11,Neutral,0.5
CATX,0.186916,WATCH,2026-06-11,Neutral,0.5
IMUX,0.185864,WATCH,2026-06-11,Neutral,0.5
GRFS,0.179147,WATCH,2026-06-11,Neutral,0.5
CSTL,0.172708,WATCH,2026-06-11,Neutral,0.5
JAZZ,0.171917,WATCH,2026-06-11,Neutral,0.5
ALXO,0.151678,WATCH,2026-06-11,Neutral,0.5
EQ,0.1486,WATCH,2026-06-11,Neutral,0.5
ASMB,0.138045,WATCH,2026-06-11,Neutral,0.5
ABOS,0.137356,WATCH,2026-06-11,Neutral,0.5
FATE,0.13069,WATCH,2026-06-11,Neutral,0.5
SVRA,0.130069,WATCH,2026-06-11,Neutral,0.5
OCS,0.11654,WATCH,2026-06-11,Neutral,0.5
CHRS,0.108027,WATCH,2026-06-11,Neutral,0.5
ORIC,0.105241,WATCH,2026-06-11,Neutral,0.5
EDIT,0.101025,WATCH,2026-06-11,Neutral,0.5
NBP,0.100619,WATCH,2026-06-11,Neutral,0.5
NKTX,0.099724,WATCH,2026-06-11,Neutral,0.5
LXEO,0.094739,WATCH,2026-06-11,Neutral,0.5
TNXP,0.093836,WATCH,2026-06-11,Neutral,0.5
CCCC,0.093731,WATCH,2026-06-11,Neutral,0.5
CRDF,0.091222,WATCH,2026-06-11,Neutral,0.5
AURA,0.09063,WATCH,2026-06-11,Neutral,0.5
DNA,0.088971,WATCH,2026-06-11,Neutral,0.5
STRO,0.088927,WATCH,2026-06-11,Neutral,0.5
PEPG,0.088825,WATCH,2026-06-11,Neutral,0.5
ORGO,0.086901,WATCH,2026-06-11,Neutral,0.5
OVID,0.085957,WATCH,2026-06-11,Neutral,0.5
EVMN,0.085838,WATCH,2026-06-11,Neutral,0.5
FDMT,0.085282,WATCH,2026-06-11,Neutral,0.5
FULC,0.084527,WATCH,2026-06-11,Neutral,0.5
UPB,0.084475,WATCH,2026-06-11,Neutral,0.5
LRMR,0.081722,WATCH,2026-06-11,Neutral,0.5
DSGN,0.081054,WATCH,2026-06-11,Neutral,0.5
CAPR,0.078958,WATCH,2026-06-11,Neutral,0.5
SLS,0.078884,WATCH,2026-06-11,Neutral,0.5
ELDN,0.078443,WATCH,2026-06-11,Neutral,0.5
PRQR,0.078187,WATCH,2026-06-11,Neutral,0.5
CLYM,0.077606,AVOID,2026-06-11,Neutral,0.5
DTIL,0.077042,AVOID,2026-06-11,Neutral,0.5
CMPX,0.074006,AVOID,2026-06-11,Neutral,0.5
SIGA,0.072175,AVOID,2026-06-11,Neutral,0.5
ABVX,0.071417,AVOID,2026-06-11,Neutral,0.5
