ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
RVMD,93.19,93.28,-0.0965,,,,,,2026-03-27
BDTX,2.04,2.135,-4.4496,,,,,,2026-03-27
SGMO,0.3211,0.3425,-6.2482,,,,,,2026-03-27
DNLI,18.205,19.735,-7.7527,,,,,,2026-03-27
EQ,1.895,2.07,-8.4541,,,,,,2026-03-27
GRFS,7.48,7.625,-1.9016,,,,,,2026-03-27
TAK,17.925,18.04,-0.6375,,,,,,2026-03-27
NUVL,96.41,98.02,-1.6425,,,,,,2026-03-27
RAPP,27.99,29.04,-3.6157,,,,,,2026-03-27
NVO,36.02,36.38,-0.9896,,,,,,2026-03-27
TEM,42.775,45.53,-6.051,,,,,,2026-03-27
RYTM,76.505,81.86,-6.5417,,,,,,2026-03-27
FBRX,25.665,26.96,-4.8034,,,,,,2026-03-27
STOK,32.87,33.72,-2.5208,,,,,,2026-03-27
VKTX,32.58,34.245,-4.862,,,,,,2026-03-27
CRBU,1.78,1.92,-7.2917,,,,,,2026-03-27
CABA,2.675,2.805,-4.6346,,,,,,2026-03-27
PCRX,22.83,23.335,-2.1641,,,,,,2026-03-27
NKTR,68.495,70.89,-3.3785,,,,,,2026-03-27
ROIV,26.62,27.33,-2.5979,,,,,,2026-03-27
RLAY,9.49,10.11,-6.1325,,,,,,2026-03-27
CRSP,45.805,47.59,-3.7508,,,,,,2026-03-27
APLS,17.06,17.655,-3.3702,,,,,,2026-03-27
VTRS,13.105,13.355,-1.872,,,,,,2026-03-27
ABT,104.6,104.6,0.0,,139.045,104.135,-24.7726,0.4465,2026-03-27
SPRY,8.05,8.56,-5.9579,,,,,,2026-03-27
ABBV,210.145,211.085,-0.4453,-7.9139,244.805,164.475,-14.1582,27.7671,2026-03-27
LXEO,5.495,5.66,-2.9152,,,,,,2026-03-27
DNTH,81.2,82.59,-1.683,,,,,,2026-03-27
MIST,1.035,1.16,-10.7759,,,,,,2026-03-27
PTCT,66.775,66.985,-0.3135,,,,,,2026-03-27
MRNA,50.07,53.605,-6.5945,,,,,,2026-03-27
OMER,9.985,10.3,-3.0583,,,,,,2026-03-27
ZTS,113.825,116.625,-2.4009,,,,,,2026-03-27
BMRN,54.37,55.55,-2.1242,,,,,,2026-03-27
IDXX,558.88,573.35,-2.5238,,,,,,2026-03-27
NVS,148.26,149.57,-0.8758,,,,,,2026-03-27
SEPN,24.01,24.74,-2.9507,,,,,,2026-03-27
ASND,219.375,220.62,-0.5643,,,,,,2026-03-27
GILD,134.76,136.92,-1.5776,,,,,,2026-03-27
RNAC,5.75,6.12,-6.0458,,,,,,2026-03-27
ADPT,12.43,13.96,-10.9599,,,,,,2026-03-27
NVAX,8.55,8.955,-4.5226,,,,,,2026-03-27
IVVD,1.405,1.51,-6.9536,,,,,,2026-03-27
INCY,90.7,92.26,-1.6909,,,,,,2026-03-27
ONC,282.95,277.3,2.0375,,,,,,2026-03-27
PSNL,6.26,7.33,-14.5975,,,,,,2026-03-27
CELC,108.65,114.83,-5.3819,,,,,,2026-03-27
SDGR,11.05,11.57,-4.4944,,,,,,2026-03-27
MRVI,2.88,3.1,-7.0968,,,,,,2026-03-27
QDEL,14.61,15.595,-6.3161,,,,,,2026-03-27
PFE,27.13,27.56,-1.5602,,,,,,2026-03-27
BMY,58.61,59.4,-1.33,,,,,,2026-03-27
TRVI,11.39,11.805,-3.5155,,,,,,2026-03-27
IMUX,1.12,1.27,-11.811,,,,,,2026-03-27
TYRA,36.445,38.07,-4.2685,,,,,,2026-03-27
RLMD,6.39,6.53,-2.144,,,,,,2026-03-27
HALO,61.78,63.3,-2.4013,,,,,,2026-03-27
QURE,14.85,15.615,-4.8991,,,,,,2026-03-27
RZLT,3.065,3.26,-5.9816,,,,,,2026-03-27
TARS,66.615,67.21,-0.8853,,,,,,2026-03-27
XENE,54.625,55.6,-1.7536,,,,,,2026-03-27
LGND,197.19,203.205,-2.9601,,,,,,2026-03-27
